indexnummer,klachtnummer,naam,email,telefoon,hoofdcategorie,subcategorie,behandeltermijn,status,bron,gebied,wijk,tevredenheid,team,wijziging,datum,behandelsduur
3798,KLB26D5FB8,Noah Visser,,0623704673,Afval en reiniging,Dumping grofvuil,5 dagen,In behandeling,app,Woensel Noord,Ontginning,,Team Reiniging,0,2025-02-06,
3799,KL20FD7F08,Mila de Boer,mila.de boer756@gmail.com,0671942832,Bouwvergunning,Overlast door projecten,7 dagen,Afgehandelde klacht,app,Centrum,Fellenoord,Neutraal,Team Bouw & Toezicht,0,2025-01-28,9.0
3800,KL2FED3C29,Tess Bakker,tess.bakker322@outlook.com,0620143922,Verkeer en wegen,Losliggende stoeptegel,10 dagen,Heropend,app,Tongelre,Oud-Tongelre,,Team Wegen & Verkeer,0,2025-02-15,
3801,KL3F63DC8F,Daan van Dijk,daan.van dijk423@hotmail.com,0633708423,Straatverlichting,Knipperende verlichting,10 dagen,Afgehandelde klacht,internet,Woensel Zuid,Erp,Tevreden,Team Verlichting,0,2025-02-11,10.0
3802,KLF121AB9A,Liam van Dijk,liam.van dijk707@outlook.com,0623077706,Afval en reiniging,Niet geleegde containers,3 dagen,Geannuleerd,formulier,Woensel Zuid,Begijnenbroek,,Team Reiniging,0,2025-02-20,
3803,KL52ADAB83,Daan van Dijk,daan.van dijk943@outlook.com,0645388850,Dieren,Dode of gewonde dieren - in openbaar groen,2 dagen,Openstaand,app,Stratum,Putten,,Team Handhaving,0,2025-02-08,
3804,KL190CFE38,Liam Smit,liam.smit132@hotmail.com,0688406828,Afval en reiniging,Zwerfvuil,5 dagen,Geannuleerd,internet,Centrum,TU-terrein,,Team Reiniging,0,2025-02-01,
3805,KLD43FDFA0,Tess Koster,tess.koster109@hotmail.com,0660882819,Afval en reiniging,Verstopte putten,3 dagen,Openstaand,app,Gestel,Oud-Gestel,,Team Reiniging,0,2025-02-15,
3806,KLE8A1D6F2,Finn Smit,finn.smit174@gmail.com,0681060915,Verkeer en wegen,Losliggende stoeptegel,10 dagen,Heropend,onbekend,Woensel Zuid,Begijnenbroek,,Team Wegen & Verkeer,0,2025-02-25,
3807,KL37C45214,Emma Visser,,0699009036,Afval en reiniging,Dumping grofvuil,5 dagen,Openstaand,app,Woensel Zuid,Erp,,Team Reiniging,0,2025-02-20,
3808,KLA3E12EA7,Noah van Dijk,noah.van dijk683@gmail.com,0637208119,Dieren,Overlast door dieren,7 dagen,Heropend,app,Strijp,Meerhoven,,Team Handhaving,0,2025-01-28,
3809,KL2D04362F,Liam Bakker,liam.bakker627@outlook.com,0658238533,Zorg en ondersteuning,Wmo/aanvragen,14 dagen,In behandeling,telefoon,Woensel Zuid,Begijnenbroek,,Team Sociaal Domein,0,2025-02-26,
3810,KLC53D00F9,Sara de Boer,sara.de boer358@hotmail.com,0670344214,Afval en reiniging,Zwerfvuil,5 dagen,Openstaand,app,Strijp,Meerhoven,,Team Reiniging,0,2025-02-25,
3811,KLCCCB19F0,Sara van Dijk,sara.van dijk371@outlook.com,,Dieren,Dode of gewonde dieren - in openbaar groen,2 dagen,Openstaand,telefoon,Woensel Zuid,Begijnenbroek,,Team Handhaving,0,2025-02-11,
3812,KLAD24CF69,Liam Meijer,liam.meijer591@gmail.com,0679077968,Vandalisme,Graffiti,10 dagen,Heropend,telefoon,Gestel,Oud Kasteel,,Team Handhaving,0,2025-02-23,
3813,KL3790A853,Liam Mulder,liam.mulder11@gmail.com,0661465320,Geluidsoverlast,Bouw/sloopwerkzaamheden,7 dagen,Heropend,app,Centrum,De Bergen,,Team Handhaving,0,2025-02-24,
3814,KLA9D71BE5,Sara Jansen,,0666928618,Afval en reiniging,Niet geleegde containers,3 dagen,Afgehandelde klacht,app,Stratum,Kortonjo,Ontevreden,Team Reiniging,0,2025-02-16,4.0
3815,KL04AADEFA,Emma Visser,,0666969159,Zorg en ondersteuning,Klachten over hulpverleners,10 dagen,In behandeling,internet,Woensel Zuid,Oud-Woensel,,Team Sociaal Domein,0,2025-02-19,
3816,KL502D4DE8,Finn Bakker,finn.bakker855@gmail.com,0636013973,Bouwvergunning,Illegale aanbouw,14 dagen,Geannuleerd,internet,Centrum,De Bergen,,Team Bouw & Toezicht,0,2025-02-07,
3817,KL847808DA,Sara Jansen,sara.jansen850@gmail.com,0654133870,Afval en reiniging,Zwerfvuil,5 dagen,In behandeling,internet,Strijp,Oud-Strijp,,Team Reiniging,0,2025-02-04,
3818,KLC2131CD2,Mila van Dijk,mila.van dijk446@outlook.com,0675574372,Openbaar vervoer,Klacht over dienstverlening,5 dagen,Openstaand,app,Stratum,Oud-Stratum,,Team Wegen & Verkeer,0,2025-02-09,
3819,KLCADC5D30,Julia Visser,julia.visser766@hotmail.com,0639578638,Zorg en ondersteuning,Klachten over hulpverleners,10 dagen,Openstaand,telefoon,Gestel,Rozenknopje,,Team Sociaal Domein,0,2025-02-24,
3820,KL502F1295,Julia de Vries,,0654845447,Bouwvergunning,Overlast door projecten,7 dagen,Geannuleerd,telefoon,Tongelre,Oud-Tongelre,,Team Bouw & Toezicht,0,2025-02-17,
3821,KL166B7701,Tess Jansen,,0671360913,Dieren,Dode of gewonde dieren - in openbaar groen,2 dagen,Afgehandelde klacht,internet,Strijp,Meerhoven,Ontevreden,Team Handhaving,0,2025-02-26,9.0
3822,KLBCDA66B7,Finn Koster,finn.koster364@gmail.com,0648532542,Jeugdzorg,Kindermishandeling (melding),1 dag,Geannuleerd,app,Tongelre,Oud-Tongelre,,Team Sociaal Domein,0,2025-02-06,
3823,KL6A2D3CC0,Daan Visser,daan.visser44@hotmail.com,0612838162,Verkeer en wegen,Drukte op de weg,N.v.t. (signaal),Openstaand,internet,Centrum,Binnenstad,,Team Sociaal Domein,1,2025-02-24,
3824,KL9B045E65,Emma Smit,emma.smit324@gmail.com,0651857574,Afval en reiniging,Dumping grofvuil,5 dagen,Openstaand,internet,Woensel Zuid,Oud-Woensel,,Team Reiniging,0,2025-02-12,
3825,KL01125DB9,Daan Smit,daan.smit263@gmail.com,0658592720,Spelen en sport,Beschadigde speeltoestellen,5 dagen,Afgehandelde klacht,app,Woensel Noord,Dommelbeemd,Ontevreden,Team Spelen & Sport,0,2025-02-21,8.0
3826,KL6FBDAE28,Liam Visser,,0665071089,Vandalisme,Graffiti,10 dagen,In behandeling,app,Tongelre,De Laak,,Team Handhaving,0,2025-02-20,
3827,KLFB643363,Daan de Boer,daan.de boer607@gmail.com,,Openbaar vervoer,Beschadigde haltes,7 dagen,Geannuleerd,telefoon,Woensel Zuid,Oud-Woensel,,Team Wegen & Verkeer,0,2025-01-28,
3828,KLEEBABA4F,Sophie de Vries,sophie.de vries992@hotmail.com,0674350894,Straatverlichting,Lantaarnpaal kapot,10 dagen,In behandeling,app,Strijp,Oud-Strijp,,Team Verlichting,0,2025-02-04,
3829,KL59CF7B3A,Daan Jansen,daan.jansen675@hotmail.com,0661566678,Verkeer en wegen,Gat in de weg,5 dagen,Geannuleerd,app,Stratum,Putten,,Team Wegen & Verkeer,0,2025-01-30,
3830,KL1994A179,Finn de Boer,finn.de boer635@gmail.com,0672719538,Afval en reiniging,Dumping grofvuil,5 dagen,Heropend,internet,Woensel Zuid,Begijnenbroek,,Team Reiniging,0,2025-01-29,
3831,KLA4E47A54,Sara Mulder,sara.mulder300@voorbeeld.nl,0613608764,Afval en reiniging,Niet geleegde containers,3 dagen,Heropend,telefoon,Woensel Zuid,Oud-Woensel,,Team Reiniging,0,2025-02-16,
3832,KL06E89DD2,Liam Visser,liam.visser483@outlook.com,,Groenvoorziening,Overhangend groen,14 dagen,In behandeling,telefoon,Centrum,De Bergen,,Team Groenvoorziening,0,2025-01-29,
3833,KLF723402A,Finn Smit,finn.smit252@gmail.com,0698494954,Afval en reiniging,Verstopte putten,3 dagen,Geannuleerd,app,Woensel Zuid,Erp,,Team Reiniging,0,2025-02-11,
3834,KL2C708FA1,Finn van Dijk,,0658883312,Afval en reiniging,Dumping grofvuil,5 dagen,In behandeling,app,Centrum,Binnenstad,,Team Reiniging,0,2025-02-09,
3835,KLCF581AA4,Finn Bakker,finn.bakker121@gmail.com,0652108969,Afval en reiniging,Verstopte putten,3 dagen,Heropend,app,Strijp,Meerhoven,,Team Reiniging,0,2025-02-16,
3836,KL1D51A603,Sophie de Vries,,0687448605,Openbaar vervoer,Klacht over dienstverlening,5 dagen,Openstaand,app,Centrum,Fellenoord,,Team Wegen & Verkeer,0,2025-01-31,
3837,KLAF9DBD20,Mila Jansen,mila.jansen185@hotmail.com,0660775569,Groenvoorziening,Omgevallen boom,2 dagen,Geannuleerd,internet,Woensel Zuid,Begijnenbroek,,Team Groenvoorziening,0,2025-02-13,
3838,KL0A14CFD0,Julia Smit,julia.smit322@gmail.com,0628029806,Dieren,Overlast door dieren,7 dagen,Afgehandelde klacht,telefoon,Tongelre,De Laak,Zeer ontevreden,Team Handhaving,0,2025-01-31,8.0
3839,KL192E095F,Emma Meijer,emma.meijer29@voorbeeld.nl,0634016658,Zorg en ondersteuning,Wmo/aanvragen,14 dagen,Openstaand,telefoon,Centrum,Fellenoord,,Team Sociaal Domein,0,2025-02-18,
3840,KLBF1FF31A,Daan Visser,,0636286712,Zorg en ondersteuning,Wmo/aanvragen,14 dagen,In behandeling,app,Stratum,Putten,,Team Sociaal Domein,0,2025-02-12,
3841,KL23FE379F,Emma Visser,emma.visser434@outlook.com,0635884143,Dieren,Dode of gewonde dieren - in openbaar groen,2 dagen,Afgehandelde klacht,formulier,Centrum,TU-terrein,Neutraal,Team Handhaving,0,2025-02-20,3.0
3842,KLE629038F,Tess Visser,tess.visser219@hotmail.com,0689848622,Vandalisme,Beschadigde objecten,5 dagen,Openstaand,telefoon,Tongelre,Oud-Tongelre,,Team Handhaving,0,2025-02-22,
3843,KLAC71C199,Mila Visser,,,Verkeer en wegen,Verkeersbord ontbreekt/beschadigd,10 dagen,Openstaand,onbekend,Centrum,Witte Dame,,Team Wegen & Verkeer,0,2025-02-12,
3844,KLDB372FB8,Mila Meijer,mila.meijer802@hotmail.com,0631647518,Bouwvergunning,Overlast door projecten,7 dagen,Geannuleerd,telefoon,Centrum,Witte Dame,,Team Bouw & Toezicht,0,2025-02-09,
3845,KL4790073D,Sara Mulder,sara.mulder121@hotmail.com,0623374074,Afval en reiniging,Dumping grofvuil,5 dagen,Heropend,app,Centrum,Fellenoord,,Team Reiniging,0,2025-02-04,
3846,KLC5544AA2,Noah Smit,noah.smit915@gmail.com,,Afval en reiniging,Dumping grofvuil,5 dagen,Afgehandelde klacht,app,Stratum,Kortonjo,Ontevreden,Team Reiniging,0,2025-01-30,3.0
3847,KL3968EC96,Tess Bakker,tess.bakker917@hotmail.com,0636664559,Illegale activiteiten,Hennepkwekerijen,1 dag (melden politie),Heropend,telefoon,Centrum,TU-terrein,,Team Handhaving,0,2025-02-06,
3848,KL250736ED,Liam Jansen,,0623760005,Zorg en ondersteuning,Klachten over hulpverleners,10 dagen,In behandeling,app,Gestel,Oud-Gestel,,Team Sociaal Domein,0,2025-02-03,
3849,KL0C21233E,Emma van Dijk,emma.van dijk172@outlook.com,,Afval en reiniging,Verstopte putten,3 dagen,In behandeling,app,Woensel Zuid,Erp,,Team Reiniging,0,2025-02-07,
3850,KL14596512,Noah Meijer,noah.meijer272@hotmail.com,,Spelen en sport,Vervuiling sportveld,7 dagen,Heropend,telefoon,Centrum,TU-terrein,,Team Spelen & Sport,0,2025-02-17,
3851,KL23CF747A,Tess Mulder,tess.mulder106@gmail.com,0630975906,Spelen en sport,Beschadigde speeltoestellen,5 dagen,In behandeling,onbekend,Stratum,Putten,,Team Spelen & Sport,0,2025-01-31,
3852,KL58CCC19C,Julia Bakker,julia.bakker949@hotmail.com,0623734726,Zorg en ondersteuning,Wmo/aanvragen,14 dagen,Openstaand,telefoon,Woensel Zuid,Erp,,Team Sociaal Domein,0,2025-01-29,
3853,KLB022CD59,Emma Visser,emma.visser30@voorbeeld.nl,0620122921,Verkeer en wegen,Drukte op de weg,N.v.t. (signaal),Openstaand,internet,Gestel,Oud Kasteel,,Team Wegen & Verkeer,0,2025-02-05,
3854,KL74EC7119,Noah van Dijk,noah.van dijk622@gmail.com,0658680170,Spelen en sport,Vervuiling sportveld,7 dagen,Openstaand,telefoon,Tongelre,De Laak,,Team Spelen & Sport,0,2025-01-29,
3855,KL8FFDC8A4,Finn Mulder,finn.mulder808@hotmail.com,,Afval en reiniging,Zwerfvuil,5 dagen,Heropend,app,Stratum,Kortonjo,,Team Reiniging,0,2025-02-07,
3856,KL8A22D07F,Liam Visser,liam.visser409@voorbeeld.nl,0618393663,Woningtoezicht,Ongedierte,5 dagen,Geannuleerd,formulier,Centrum,Fellenoord,,Team Bouw & Toezicht,0,2025-02-05,
3857,KLA04A0AF3,Noah Meijer,noah.meijer952@gmail.com,0686328644,Straatverlichting,Knipperende verlichting,10 dagen,Heropend,app,Stratum,Oud-Stratum,,Team Verlichting,0,2025-02-23,
3858,KLE3E17B66,Tess de Boer,tess.de boer24@gmail.com,0659179946,Groenvoorziening,Onkruidbestrijding,14 dagen,Afgehandelde klacht,app,Gestel,Rozenknopje,Ontevreden,Team Bouw & Toezicht,1,2025-02-09,1.0
3859,KL2E62B3E8,Julia de Boer,julia.de boer1@gmail.com,0623445677,Afval en reiniging,Dumping grofvuil,5 dagen,Geannuleerd,internet,Woensel Noord,Achtse Molen,,Team Reiniging,0,2025-02-04,
3860,KLD34F5895,Sara de Vries,sara.de vries958@outlook.com,0680544225,Afval en reiniging,Verstopte putten,3 dagen,Heropend,app,Stratum,Kortonjo,,Team Reiniging,0,2025-01-28,
3861,KLF7D12200,Emma Visser,emma.visser106@hotmail.com,0634265464,Spelen en sport,Beschadigde speeltoestellen,5 dagen,Geannuleerd,internet,Gestel,Oud Kasteel,,Team Spelen & Sport,0,2025-02-15,
3862,KLB5115A7D,Tess Jansen,tess.jansen429@hotmail.com,0680621561,Verkeer en wegen,Verkeersbord ontbreekt/beschadigd,10 dagen,In behandeling,internet,Gestel,Oud-Gestel,,Team Wegen & Verkeer,0,2025-02-24,
3863,KL28643C73,Mila de Vries,mila.de vries374@gmail.com,0683181830,Dieren,Overlast door dieren,7 dagen,Heropend,formulier,Gestel,Oud-Gestel,,Team Handhaving,0,2025-01-28,
3864,KLCAE0A049,Daan Visser,daan.visser500@hotmail.com,0618046082,Dieren,Dode of gewonde dieren - in openbaar groen,2 dagen,In behandeling,formulier,Gestel,Oud-Gestel,,Team Handhaving,0,2025-02-23,
3865,KL40C632F7,Daan Smit,daan.smit391@gmail.com,0678045755,Afval en reiniging,Zwerfvuil,5 dagen,Geannuleerd,app,Gestel,Rozenknopje,,Team Reiniging,0,2025-02-14,
3866,KL72A44C1E,Daan Jansen,daan.jansen141@voorbeeld.nl,0617681509,Afval en reiniging,Dumping grofvuil,5 dagen,Geannuleerd,onbekend,Strijp,Oud-Strijp,,Team Reiniging,0,2025-02-01,
3867,KL844036B9,Sophie van Dijk,sophie.van dijk323@hotmail.com,,Woningtoezicht,Ongedierte,5 dagen,In behandeling,app,Strijp,Oud-Strijp,,Team Bouw & Toezicht,0,2025-02-06,
3868,KLB588C313,Sophie de Vries,sophie.de vries387@hotmail.com,0649779077,Openbaar vervoer,Beschadigde haltes,7 dagen,In behandeling,app,Woensel Noord,Aanschot,,Team Wegen & Verkeer,0,2025-02-17,
3869,KLC8AC898C,Finn van Dijk,finn.van dijk14@hotmail.com,0699769674,Verkeer en wegen,Drukte op de weg,N.v.t. (signaal),Geannuleerd,formulier,Tongelre,Oud-Tongelre,,Team Wegen & Verkeer,0,2025-02-22,
3870,KL806FE9FA,Liam de Boer,liam.de boer68@gmail.com,0696028388,Straatverlichting,Lantaarnpaal kapot,10 dagen,Heropend,app,Gestel,Rozenknopje,,Team Verlichting,0,2025-02-09,
3871,KL8B751207,Finn Visser,finn.visser87@hotmail.com,0647653930,Bouwvergunning,Illegale aanbouw,14 dagen,Heropend,app,Gestel,Oud-Gestel,,Team Bouw & Toezicht,0,2025-02-09,
3872,KL338BE413,Liam Koster,liam.koster287@gmail.com,0640814515,Dieren,Dode of gewonde dieren - op straat,1 dag,In behandeling,telefoon,Stratum,Putten,,Team Handhaving,0,2025-02-23,
3873,KL8FE9DE96,Julia van Dijk,julia.van dijk769@outlook.com,0698645952,Straatverlichting,Lantaarnpaal kapot,10 dagen,In behandeling,formulier,Woensel Zuid,Begijnenbroek,,Team Verlichting,0,2025-02-08,
3874,KLBB0731FB,Daan de Vries,daan.de vries344@outlook.com,,Jeugdzorg,Ondersteuning bij opvoeding,14 dagen,Heropend,telefoon,Strijp,Meerhoven,,Team Sociaal Domein,0,2025-02-03,
3875,KL1FFD52D1,Liam van Dijk,liam.van dijk714@voorbeeld.nl,0670710879,Groenvoorziening,Onkruidbestrijding,14 dagen,Afgehandelde klacht,app,Strijp,Halve Maan,Tevreden,Team Groenvoorziening,0,2025-02-11,9.0
3876,KLA1AF39F8,Mila Koster,mila.koster886@hotmail.com,0643259877,Woningtoezicht,Achterstallig onderhoud,10 dagen,Geannuleerd,internet,Centrum,TU-terrein,,Team Bouw & Toezicht,0,2025-01-31,
3877,KLD0414A77,Sophie Meijer,sophie.meijer957@voorbeeld.nl,,Afval en reiniging,Niet geleegde containers,3 dagen,Afgehandelde klacht,formulier,Woensel Noord,Ontginning,Ontevreden,Team Reiniging,0,2025-02-22,4.0
3878,KL1A0D2178,Tess Smit,tess.smit847@gmail.com,,Afval en reiniging,Verstopte putten,3 dagen,In behandeling,internet,Woensel Noord,Ontginning,,Team Reiniging,0,2025-02-08,
3879,KLA620F157,Mila van Dijk,mila.van dijk960@gmail.com,,Geluidsoverlast,Horeca,7 dagen,Heropend,telefoon,Centrum,Binnenstad,,Team Handhaving,0,2025-02-09,
3880,KL101BC369,Sophie de Boer,sophie.de boer237@gmail.com,0659908751,Verkeer en wegen,Gat in de weg,5 dagen,Heropend,telefoon,Gestel,Oud Kasteel,,Team Wegen & Verkeer,0,2025-01-30,
3881,KLB7C5AB9A,Sophie Meijer,sophie.meijer788@gmail.com,0612243725,Geluidsoverlast,Horeca,7 dagen,Afgehandelde klacht,formulier,Centrum,Witte Dame,Zeer tevreden,Team Handhaving,0,2025-02-12,17.0
3882,KLAC67A093,Daan van Dijk,daan.van dijk736@outlook.com,0695296750,Parkeerproblemen,Parkeerplaatsen geblokkeerd,1 dag,Afgehandelde klacht,app,Gestel,Rozenknopje,Ontevreden,Team Handhaving,0,2025-02-10,16.0
3883,KLE6E9A8C9,Daan Visser,daan.visser338@gmail.com,0631074211,Dieren,Dode of gewonde dieren - op straat,1 dag,In behandeling,telefoon,Centrum,Fellenoord,,Team Handhaving,0,2025-02-12,
3884,KLD90925F8,Julia Bakker,,0675793238,Spelen en sport,Vervuiling sportveld,7 dagen,In behandeling,formulier,Woensel Noord,Achtse Molen,,Team Spelen & Sport,0,2025-02-23,
3885,KLF549C7BB,Liam de Boer,,,Spelen en sport,Beschadigde speeltoestellen,5 dagen,Geannuleerd,internet,Centrum,Fellenoord,,Team Spelen & Sport,0,2025-02-21,
3886,KL3EDE7A74,Sara Koster,sara.koster660@gmail.com,0613901131,Zorg en ondersteuning,Klachten over hulpverleners,10 dagen,Afgehandelde klacht,app,Woensel Noord,Ontginning,Ontevreden,Team Sociaal Domein,0,2025-02-04,16.0
3887,KL2BDF8360,Liam Mulder,liam.mulder442@hotmail.com,,Geluidsoverlast,Bouw/sloopwerkzaamheden,7 dagen,In behandeling,formulier,Woensel Noord,Aanschot,,Team Handhaving,0,2025-02-21,
3888,KLE9CE8ADF,Liam van Dijk,liam.van dijk913@outlook.com,0645409646,Bouwvergunning,Overlast door projecten,7 dagen,Geannuleerd,app,Centrum,Binnenstad,,Team Bouw & Toezicht,0,2025-02-10,
3889,KL9AB1D39D,Finn Jansen,,0615912066,Afval en reiniging,Zwerfvuil,5 dagen,Afgehandelde klacht,formulier,Tongelre,Oud-Tongelre,Tevreden,Team Reiniging,0,2025-02-22,13.0
3890,KL89F796CE,Finn Meijer,finn.meijer381@gmail.com,0638930371,Afval en reiniging,Verstopte putten,3 dagen,Geannuleerd,internet,Gestel,Oud-Gestel,,Team Reiniging,0,2025-02-18,
3891,KLEC4E2390,Julia Smit,julia.smit791@hotmail.com,0632621057,Openbaar vervoer,Beschadigde haltes,7 dagen,Geannuleerd,app,Centrum,Binnenstad,,Team Wegen & Verkeer,0,2025-02-20,
3892,KLCF4F5D0D,Noah Bakker,noah.bakker153@hotmail.com,0621730548,Groenvoorziening,Onkruidbestrijding,14 dagen,Afgehandelde klacht,internet,Centrum,Binnenstad,Zeer tevreden,Team Groenvoorziening,0,2025-02-17,14.0
3893,KLE40C8CAD,Noah Mulder,noah.mulder916@hotmail.com,0661940670,Jeugdzorg,Ondersteuning bij opvoeding,14 dagen,In behandeling,telefoon,Tongelre,De Laak,,Team Sociaal Domein,0,2025-02-05,
3894,KL1D95BA42,Mila Visser,mila.visser153@gmail.com,0648776212,Parkeerproblemen,Parkeerplaatsen geblokkeerd,1 dag,Heropend,app,Gestel,Oud Kasteel,,Team Groenvoorziening,1,2025-02-04,
3895,KL9BDE8A04,Sara Visser,sara.visser405@voorbeeld.nl,0668253721,Bouwvergunning,Illegale aanbouw,14 dagen,Afgehandelde klacht,telefoon,Centrum,Fellenoord,Ontevreden,Team Bouw & Toezicht,0,2025-02-17,18.0
3896,KL1DB717A4,Mila Smit,mila.smit880@outlook.com,0669055904,Afval en reiniging,Zwerfvuil,5 dagen,In behandeling,app,Strijp,Halve Maan,,Team Reiniging,0,2025-01-29,
3897,KL9AE2A4B7,Julia Smit,julia.smit746@hotmail.com,0623610306,Straatverlichting,Knipperende verlichting,10 dagen,Afgehandelde klacht,telefoon,Woensel Noord,Dommelbeemd,Neutraal,Team Verlichting,0,2025-02-19,1.0
3898,KLFD7B599B,Mila Meijer,,0643231872,Verkeer en wegen,Verkeersbord ontbreekt/beschadigd,10 dagen,Geannuleerd,app,Centrum,Witte Dame,,Team Wegen & Verkeer,0,2025-02-22,
3899,KL3B6CE0D6,Julia de Boer,julia.de boer919@gmail.com,,Spelen en sport,Beschadigde speeltoestellen,5 dagen,In behandeling,internet,Centrum,TU-terrein,,Team Spelen & Sport,0,2025-02-08,
3900,KLCE6C5128,Tess van Dijk,tess.van dijk8@outlook.com,0631349633,Vandalisme,Graffiti,10 dagen,Geannuleerd,app,Woensel Noord,Ontginning,,Team Handhaving,0,2025-02-01,
3901,KLDFB8E3F8,Sara Mulder,sara.mulder436@gmail.com,0666370657,Dieren,Overlast door dieren,7 dagen,Afgehandelde klacht,app,Woensel Zuid,Erp,Ontevreden,Team Bouw & Toezicht,1,2025-02-20,5.0
3902,KL17394A84,Mila Koster,mila.koster700@outlook.com,0646277132,Afval en reiniging,Niet geleegde containers,3 dagen,In behandeling,formulier,Woensel Noord,Achtse Molen,,Team Reiniging,0,2025-02-19,
3903,KL86651550,Sara Koster,,0622505064,Verkeer en wegen,Drukte op de weg,N.v.t. (signaal),Geannuleerd,app,Centrum,Fellenoord,,Team Wegen & Verkeer,0,2025-02-17,
3904,KLDEA32FF1,Finn de Boer,finn.de boer592@gmail.com,0630633663,Afval en reiniging,Dumping grofvuil,5 dagen,Afgehandelde klacht,app,Tongelre,Oud-Tongelre,Tevreden,Team Reiniging,0,2025-02-17,18.0
3905,KL2129E449,Tess Bakker,,0653412217,Straatverlichting,Lantaarnpaal kapot,10 dagen,Geannuleerd,app,Strijp,Halve Maan,,Team Verlichting,0,2025-01-28,
3906,KL6CF5DAD1,Julia Meijer,,0663973903,Dieren,Dode of gewonde dieren - in openbaar groen,2 dagen,Afgehandelde klacht,app,Woensel Noord,Aanschot,Zeer tevreden,Team Handhaving,0,2025-02-20,7.0
3907,KL721E7C61,Tess Meijer,tess.meijer346@gmail.com,,Afval en reiniging,Dumping grofvuil,5 dagen,Geannuleerd,app,Gestel,Rozenknopje,,Team Reiniging,0,2025-02-02,
3908,KLADCAFA5E,Sara Bakker,sara.bakker738@outlook.com,0697788135,Openbaar vervoer,Beschadigde haltes,7 dagen,Heropend,app,Gestel,Oud Kasteel,,Team Wegen & Verkeer,0,2025-02-06,
3909,KL14E3DF25,Noah Meijer,noah.meijer738@gmail.com,0626841655,Afval en reiniging,Verstopte putten,3 dagen,Afgehandelde klacht,app,Gestel,Rozenknopje,Ontevreden,Team Reiniging,0,2025-02-13,8.0
3910,KLE77B2ED1,Sophie Smit,sophie.smit192@hotmail.com,0610149574,Parkeerproblemen,Foutparkeren,1 dag,Geannuleerd,telefoon,Woensel Noord,Achtse Molen,,Team Handhaving,0,2025-02-15,
3911,KL4E3CCB53,Emma Meijer,emma.meijer144@outlook.com,0616823829,Dieren,Dode of gewonde dieren - in openbaar groen,2 dagen,Heropend,telefoon,Gestel,Oud Kasteel,,Team Handhaving,0,2025-02-16,
3912,KL9EC191DD,Sophie de Boer,sophie.de boer871@gmail.com,0648737876,Afval en reiniging,Verstopte putten,3 dagen,Geannuleerd,app,Tongelre,Oud-Tongelre,,Team Reiniging,0,2025-02-08,
3913,KL934825FF,Sophie Jansen,sophie.jansen803@voorbeeld.nl,0668723903,Bouwvergunning,Overlast door projecten,7 dagen,Geannuleerd,formulier,Woensel Zuid,Oud-Woensel,,Team Spelen & Sport,1,2025-02-06,
3914,KLEC8715F2,Liam de Vries,,0699758944,Geluidsoverlast,Bouw/sloopwerkzaamheden,7 dagen,Openstaand,app,Centrum,Binnenstad,,Team Handhaving,0,2025-01-30,
3915,KLBCB99B47,Julia Bakker,julia.bakker755@voorbeeld.nl,0685592780,Vandalisme,Graffiti,10 dagen,Geannuleerd,onbekend,Gestel,Oud Kasteel,,Team Handhaving,0,2025-02-13,
3916,KLA29CDDEC,Emma Bakker,emma.bakker346@hotmail.com,0695564410,Verkeer en wegen,Drukte op de weg,N.v.t. (signaal),Afgehandelde klacht,internet,Woensel Noord,Achtse Molen,Ontevreden,Team Wegen & Verkeer,0,2025-02-10,14.0
